Arrival_Date,Room_Category,Fare_Class,forecast_mu,forecast_sigma,ci_lower_95,ci_upper_95
2025-10-02,Superior,Y1_High,2.7444449053742925,1.6469080602355266,-0.48343557929354963,5.972325390042135
2025-10-03,Superior,Y1_High,2.7461543631086704,1.651727453516451,-0.49117195881933506,5.983480685036676
2025-10-04,Superior,Y1_High,2.7477459836011953,1.6565244749318344,-0.4989823275362353,5.994474294738626
2025-10-05,Superior,Y1_High,2.749277816715344,1.6613034679095866,-0.5068171485430488,6.005372781973737
2025-10-06,Superior,Y1_High,2.750778715095644,1.666066605728738,-0.5146518287438773,6.016209258935165
2025-10-07,Superior,Y1_High,2.752263610807191,1.670815049766748,-0.5224737123316174,6.027000933946
2025-10-08,Superior,Y1_High,2.7537402975629064,1.675549468456516,-0.5302763156977588,6.037756910823571
2025-10-09,Superior,Y1_High,2.7552127487636375,1.680270254999892,-0.538056436102917,6.0484819336301925
2025-10-10,Superior,Y1_High,2.7566830152269346,1.6849776647900736,-0.545812523291012,6.059178553744881
2025-10-11,Superior,Y1_High,2.758152157400169,1.68967188261543,-0.5535438789932212,6.069848193793559
2025-10-12,Superior,Y1_High,2.759620720005917,1.6943530554374402,-0.561250246526174,6.080491686538008
2025-10-13,Superior,Y1_High,2.761088983894412,1.6990213102495257,-0.5689315939421697,6.091109561730994
2025-10-14,Superior,Y1_High,2.7625570939182778,1.7036767631155787,-0.5765880038696332,6.101702191706188
2025-10-15,Superior,Y1_High,2.7640251246487693,1.70831952376412,-0.5842196168012572,6.112269866098796
2025-10-16,Superior,Y1_High,2.765493114518523,1.712949698001067,-0.5918266016801947,6.1228128307172405
2025-10-17,Superior,Y1_High,2.7669610833359775,1.7175673889555525,-0.5994091408273916,6.133331307499347
2025-10-18,Superior,Y1_High,2.7684290413052444,1.7221726977301632,-0.6069674221961665,6.143825504806655
2025-10-19,Superior,Y1_High,2.7698969936846107,1.7267657237486542,-0.6145016353952104,6.154295622764431
2025-10-20,Superior,Y1_High,2.771364943183727,1.7313465649461033,-0.6220119696640993,6.164741856031553
2025-09-12,Superior,Y2_Medium,1.238958708179651,1.4468608707687938,-1.596836489832924,4.0747539061922255
2025-09-13,Superior,Y2_Medium,1.626916230174434,1.4534778590670328,-1.2218480265918557,4.475680486940724
2025-09-14,Superior,Y2_Medium,1.3371983701484675,1.460064859598483,-1.5244761704286407,4.198872910725576
2025-09-15,Superior,Y2_Medium,1.2411020478427153,1.4666222764129113,-1.6334247935253061,4.115628889210736
2025-09-16,Superior,Y2_Medium,1.4354380321172842,1.4731505045672841,-1.4518839013191707,4.322759965553739
2025-09-17,Superior,Y2_Medium,1.242530940951425,1.479649930403505,-1.657529633047201,4.142591514950051
2025-09-18,Superior,Y2_Medium,1.5336776940861008,1.486120931815224,-1.3790658096263788,4.44642119779858
2025-09-19,Superior,Y2_Medium,1.3639043791849315,1.5120106620808196,-1.59958206342948,4.327390821799343
2025-09-20,Superior,Y2_Medium,1.4021772917286632,1.5196261079316882,-1.5762351504831684,4.380589733940495
2025-09-21,Superior,Y2_Medium,1.3748439295013994,1.527203579608542,-1.6184200842944232,4.368107943297222
2025-09-22,Superior,Y2_Medium,1.3662552172087057,1.5347436395798086,-1.6417870425755396,4.374297476992951
